gravity,ts,value
gravity,1669634357829,1.024
gravity,1669634297772,1.024
gravity,1669634237713,1.025
gravity,1669634177649,1.024
gravity,1669634117590,1.024
gravity,1669634057532,1.025
gravity,1669633997484,1.023
gravity,1669633937423,1.025
gravity,1669633877369,1.024
gravity,1669633817321,1.025
gravity,1669633757261,1.024
gravity,1669633697199,1.024
gravity,1669633637145,1.025
gravity,1669633577125,1.024
gravity,1669633517065,1.025
gravity,1669633457004,1.026
gravity,1669633396944,1.022
gravity,1669633336901,1.022
gravity,1669633276840,1.025
gravity,1669633216781,1.026
gravity,1669633156732,1.025
gravity,1669633096671,1.023
gravity,1669633036610,1.024
gravity,1669632976549,1.024
gravity,1669632916499,1.025
gravity,1669632856438,1.025
gravity,1669632796380,1.024
gravity,1669632736338,1.023
gravity,1669632676276,1.024
gravity,1669632616236,1.024
gravity,1669632556182,1.025
gravity,1669632496121,1.024
gravity,1669632436063,1.024
gravity,1669632376004,1.024
gravity,1669632315951,1.024
gravity,1669632255890,1.02
gravity,1669632195838,1.025
gravity,1669632135778,1.025
gravity,1669632075724,1.025
gravity,1669632015665,1.026
gravity,1669631955603,1.024
gravity,1669631895544,1.024
gravity,1669631835490,1.025
gravity,1669631775429,1.026
gravity,1669631715368,1.028
gravity,1669631655309,1.024
gravity,1669631595249,1.024
gravity,1669631535192,1.025
gravity,1669631475133,1.025
gravity,1669631415074,1.025
gravity,1669631355024,1.028
gravity,1669631294963,1.027
gravity,1669631234906,1.023
gravity,1669631174845,1.025
gravity,1669631114786,1.025
gravity,1669631054728,1.025
gravity,1669630994668,1.026
gravity,1669630934628,1.025
gravity,1669630874576,1.028
gravity,1669630814516,1.025
gravity,1669630754473,1.025
gravity,1669630694417,1.026
gravity,1669630634360,1.025
gravity,1669630574300,1.018
gravity,1669630514238,1.024
gravity,1669630454177,1.025
gravity,1669630394119,1.024
gravity,1669630334058,1.025
gravity,1669630274000,1.025
gravity,1669630213950,1.024
gravity,1669630153893,1.025
gravity,1669630093831,1.025
gravity,1669630033770,1.023
gravity,1669629973719,1.025
gravity,1669629913673,1.025
gravity,1669629853617,1.023
gravity,1669629793559,1.025
gravity,1669629733504,1.025
gravity,1669629673452,1.026
gravity,1669629613393,1.023
gravity,1669629553335,1.025
gravity,1669629493280,1.025
gravity,1669629433220,1.015
gravity,1669629373181,1.026
gravity,1669629313123,1.026
gravity,1669629253066,1.026
gravity,1669629193005,1.026
gravity,1669629132948,1.025
gravity,1669629072903,1.024
gravity,1669629012860,1.026
gravity,1669628952801,1.028
gravity,1669628892746,1.025
gravity,1669628832691,1.025
gravity,1669628772630,1.025
gravity,1669628712573,1.025
gravity,1669628652513,1.025
gravity,1669628592453,1.025
gravity,1669628532393,1.026
gravity,1669628472331,1.026
gravity,1669628412281,1.026
gravity,1669628352228,1.027
gravity,1669628292186,1.026
gravity,1669628232133,1.026
gravity,1669628172073,1.025
gravity,1669628112014,1.025
gravity,1669628051954,1.025
gravity,1669627991901,1.026
gravity,1669627931849,1.025
gravity,1669627871796,1.026
gravity,1669627811735,1.026
gravity,1669627751681,1.026
gravity,1669627691621,1.025
gravity,1669627631563,1.021
gravity,1669627571509,1.026
gravity,1669627511452,1.025
gravity,1669627451391,1.025
gravity,1669627391335,1.025
gravity,1669627331275,1.026
gravity,1669627271216,1.026
gravity,1669627211165,1.028
gravity,1669627151108,1.025
gravity,1669627091050,1.026
gravity,1669627030996,1.025
gravity,1669626970944,1.024
gravity,1669626910887,1.026
gravity,1669626850827,1.026
gravity,1669626790769,1.026
gravity,1669626730712,1.026
gravity,1669626670653,1.025
gravity,1669626610595,1.026
gravity,1669626550539,1.015
gravity,1669626490479,1.026
gravity,1669626430419,1.025
gravity,1669626370358,1.026
gravity,1669626310300,1.025
gravity,1669626250240,1.025
gravity,1669626190186,1.025
gravity,1669626130125,1.026
gravity,1669626070063,1.026
gravity,1669626010006,1.026
gravity,1669625949944,1.028
gravity,1669625889883,1.025
gravity,1669625829828,1.027
gravity,1669625769766,1.026
gravity,1669625709709,1.027
gravity,1669625649650,1.026
gravity,1669625589600,1.026
gravity,1669625529547,1.025
gravity,1669625469485,1.025
gravity,1669625409428,1.026
gravity,1669625349383,1.026
gravity,1669625289335,1.027
gravity,1669625229274,1.026
gravity,1669625169215,1.026
gravity,1669625109156,1.025
gravity,1669625049095,1.026
gravity,1669624989038,1.026
gravity,1669624928977,1.026
gravity,1669624868915,1.026
gravity,1669624808854,1.026
gravity,1669624748799,1.025
gravity,1669624688749,1.026
